"ConditionA1.bam" "ConditionA2.bam" "ConditionA3.bam" "ConditionD1.bam" "ConditionD2.bam" "ConditionD3.bam" "ConditionE1.bam" "ConditionE2.bam" "ConditionE3.bam" "ConditionF1.bam" "ConditionF2.bam" "ConditionF3.bam" "ConditionF4.bam" "ConditionG1.bam" "ConditionG2.bam" "ConditionG3.bam" "ConditionG4.bam"
"Cluster-2491.7079" 262 223 139 158 109 93 48 135 99 65 100 150 156 97 72 366 277
"Cluster-2491.19018" 37 25 8 11 20 14 1 17 4 4 4 10 21 3 0 19 23
"Cluster-2491.12738" 234 157 68 165 187 139 45 75 78 102 144 133 230 33 83 250 196
"Cluster-2491.10214" 2 5 1 166 147 106 43 169 77 10 18 45 44 109 17 76 149
"Cluster-2491.20818" 8 9 4 5 10 5 3 6 5 2 12 23 8 1 2 19 14
"Cluster-2491.12854" 701 520 326 143 176 99 120 223 65 256 396 549 814 154 187 757 473
"Cluster-2491.6522" 74 78 38 85 88 65 13 13 31 41 17 39 80 26 10 46 33
"Cluster-2491.11742" 533 514 298 491 517 351 150 699 331 128 193 171 308 348 168 1588 732
"Cluster-2491.24451" 33 33 12 2 3 1 0 0 2 0 0 2 3 0 0 5 5
"Cluster-2491.3435" 130 112 53 78 106 70 34 110 134 51 75 171 250 95 37 271 157
"Cluster-2491.18371" 14 17 9 3 5 2 35 22 9 1 3 1 10 19 7 76 26
"Cluster-2491.9342" 95 94 56 38 63 42 47 110 74 70 75 44 49 61 89 223 116
"Cluster-4860.0" 8 3 2 4 1 0 1 0 0 0 7 9 10 3 0 6 7
"Cluster-4047.0" 6 5 0 7 6 2 7 6 5 1 0 2 12 6 0 23 13
"Cluster-2491.10243" 323 352 241 404 715 400 177 846 668 779 795 762 678 543 575 2117 791
"Cluster-2491.18760" 10 1 6 3 0 0 10 4 12 12 30 41 30 9 15 62 27
"Cluster-2491.16737" 112 141 65 66 53 39 27 43 39 38 34 27 68 55 22 56 62
"Cluster-2491.18535" 80 75 36 132 134 113 9 44 22 5 7 9 13 13 12 91 86
"Cluster-2491.3598" 554 402 498 302 340 250 270 324 406 477 731 4624 4281 231 290 2183 1279
"Cluster-2491.18333" 21 12 8 9 6 5 12 1 9 12 34 68 73 6 12 64 53
"Cluster-2491.3763" 111 125 117 70 64 69 13 75 51 10 7 14 18 27 7 103 83
"Cluster-2491.11405" 21 13 15 22 16 9 12 16 4 9 25 41 30 10 4 66 33
"Cluster-2491.17014" 62 39 18 30 23 38 1 20 1 2 0 14 50 10 0 18 33
"Cluster-2491.11135" 931 718 421 234 469 229 85 425 72 119 87 338 523 211 48 579 603
"Cluster-2491.20753" 38 57 34 2 5 7 2 4 0 0 1 4 8 0 0 6 17
"Cluster-2491.17934" 747 624 696 2 1 0 13 21 5 185 209 6 15 9 40 59 12
"Cluster-2491.5565" 1228 976 692 1171 1717 1098 844 1385 1708 690 827 915 1383 1069 890 4429 2272
"Cluster-2491.14977" 794 908 347 362 395 303 181 407 197 118 133 124 278 339 88 1214 556
"Cluster-2491.17164" 2375 2162 1660 398 418 276 81 415 90 69 76 142 365 187 61 980 494
"Cluster-2491.3741" 95 76 44 49 42 51 12 31 24 24 37 42 66 20 20 79 46
"Cluster-2491.6395" 22900 16843 12867 8381 8909 6371 3026 8428 3462 1497 1552 3031 6708 8593 1300 26724 11110
"Cluster-2491.19787" 268 177 118 97 48 55 23 30 10 32 52 77 153 21 18 118 77
"Cluster-2491.787" 87 86 38 33 46 19 4 10 14 10 9 7 20 4 10 20 16
"Cluster-2491.15404" 78 147 70 83 40 43 48 45 108 9 27 97 59 72 11 164 113
"Cluster-2491.15156" 49 49 16 37 20 17 13 19 6 6 7 22 51 19 5 58 36
"Cluster-2491.14835" 16 15 3 5 8 4 0 5 0 1 0 5 2 6 0 4 8
"Cluster-2491.18340" 87 123 53 196 141 125 42 97 75 111 200 195 198 54 64 99 219
"Cluster-2491.21038" 0 0 0 1 0 0 1243 0 10 256 192 216 1 0 420 0 92
"Cluster-2491.16554" 88 63 41 13 25 9 1 2 6 12 8 16 40 3 5 8 5
"Cluster-2491.3677" 383 226 95 428 466 303 120 179 219 369 540 665 820 108 231 852 656
"Cluster-5294.0" 18 19 11 9 7 9 2 38 1 1 1 10 23 6 0 11 26
"Cluster-2491.21975" 72 29 45 0 3 0 10 38 1 47 170 655 810 0 69 521 225
"Cluster-2491.16462" 218 230 82 185 245 136 50 66 53 407 495 535 619 66 199 276 231
"Cluster-2491.6905" 3154 2531 1656 3588 3879 3109 418 3734 2856 579 610 786 1549 2172 592 6991 6150
"Cluster-2491.16275" 12 12 1 36 52 72 15 0 1 0 0 0 0 4 0 10 5
"Cluster-2491.13728" 473 339 215 210 292 205 226 595 497 360 503 454 568 350 381 1752 725
"Cluster-2491.8371" 287 290 152 258 268 241 180 445 488 187 354 374 511 345 284 1092 642
"Cluster-2491.23352" 7 18 52 15 1 9 5 12 16 9 1 3 3 6 4 29 44
"Cluster-2491.3700" 30 23 25 20 28 45 4 18 10 14 14 8 16 4 9 32 19
"Cluster-2491.14329" 237 265 101 113 129 89 30 100 62 154 171 252 419 82 78 182 188
"Cluster-2491.19612" 55 110 39 98 104 70 46 88 67 83 101 234 285 44 63 185 120
"Cluster-2491.5427" 1 10 1 61 46 54 32 240 16 4 0 12 27 101 9 185 231
"Cluster-2491.13503" 11 16 4 29 45 33 12 6 3 2 4 11 21 14 2 28 27
"Cluster-2491.18966" 19 80 24 24 138 285 1971 11569 35 16 415 147 1575 1091 98 36 17
"Cluster-2491.21767" 58 49 34 25 20 25 8 15 9 10 5 27 43 8 8 22 36
"Cluster-2491.9798" 142 141 66 165 166 121 91 289 228 166 229 182 228 147 172 844 321
"Cluster-2491.12562" 6 0 0 15 5 9 37 9 52 2 1 1 1 34 3 30 30
"Cluster-2491.1720" 60 68 40 44 24 22 9 12 7 2 1 21 41 7 1 37 28
"Cluster-2491.18888" 562 495 354 148 213 147 61 365 105 89 95 92 172 170 90 902 438
"Cluster-2491.7002" 170 139 102 97 122 79 125 145 246 94 247 135 188 95 169 639 301
"Cluster-2491.12361" 7 3 1 50 53 57 26 65 82 42 28 67 45 31 60 187 125
"Cluster-2491.15617" 431 444 218 229 328 197 47 115 130 71 69 160 243 103 43 308 315
"Cluster-2491.3777" 11 4 13 63 119 113 223 577 524 1631 1623 537 372 301 908 2904 1929
"Cluster-2491.9952" 2524 2217 1711 1107 1121 802 274 1586 871 526 760 501 910 876 595 3631 1484
"Cluster-2611.0" 16 12 6 2 1 1 2 10 3 2 1 23 9 1 3 24 6
"Cluster-2491.11452" 37 32 16 389 343 279 108 362 268 14 41 44 82 108 60 270 372
"Cluster-2491.13740" 1924 1478 1253 392 399 297 187 555 337 2283 3659 3595 4878 224 1312 2357 1507
"Cluster-2491.23310" 71 19 44 1 0 1 7 12 4 79 186 367 339 0 56 313 128
"Cluster-2491.12447" 778 893 421 389 390 302 76 567 91 139 187 336 570 128 84 660 816
"Cluster-2491.3371" 640 580 342 267 329 213 72 231 133 61 120 138 258 138 70 535 269
"Cluster-2491.7768" 1393 1008 898 606 664 479 63 404 235 824 1272 1459 1615 160 625 2319 1109
"Cluster-2491.7600" 2078 1552 1079 815 895 603 160 700 425 638 709 764 1308 249 442 1656 1067
"Cluster-2491.15749" 606 586 336 491 512 375 107 275 132 86 115 267 538 240 82 663 755
"Cluster-2491.4405" 160 140 89 130 127 70 350 374 442 254 339 257 323 285 240 925 456
"Cluster-2491.9257" 913 813 724 132 124 95 107 642 366 216 249 123 150 334 251 978 317
"Cluster-2491.2971" 58 57 38 49 38 54 32 92 45 118 199 248 274 62 96 154 133
"Cluster-2491.10159" 347 318 166 163 160 122 117 315 381 282 416 232 293 247 262 656 374
"Cluster-2491.19338" 159 172 83 93 77 39 28 106 17 26 29 49 107 37 17 110 122
"Cluster-2491.1279" 10 10 5 17 13 5 35 20 33 1 11 7 16 20 10 33 22
"Cluster-2870.0" 18 18 6 16 17 14 4 2 7 1 3 3 8 5 0 7 5
"Cluster-2491.23939" 6 8 4 1 0 0 4 1 1013 8 31 35 3 11 3 0 3
"Cluster-2491.20261" 15 27 19 13 14 2 1 8 2 1 8 20 22 0 0 16 19
"Cluster-2491.11998" 16 8 5 4 2 4 8 9 0 1 0 0 2 8 0 10 13
"Cluster-2491.4466" 202 82 85 27 13 17 257 389 370 678 983 1329 1429 310 512 1318 886
"Cluster-2491.7690" 370 363 190 120 127 155 56 232 49 213 404 524 545 84 148 301 353
"Cluster-2491.7310" 363 324 154 597 563 404 177 674 457 43 55 160 305 308 67 577 889
"Cluster-2491.7534" 907 732 593 662 772 510 278 670 794 444 723 673 917 338 638 1813 980
"Cluster-2491.13673" 298 251 148 198 221 184 159 319 236 212 294 279 296 231 124 545 367
"Cluster-2491.15358" 99 106 59 11 17 14 8 20 4 6 14 22 42 10 8 74 49
"Cluster-2491.6665" 2523 2437 1444 5410 5622 4018 2053 4647 9622 1194 1155 491 549 2963 2721 12082 6157
"Cluster-2491.22064" 4 2 3 29 2 3 10 1 17 4 0 2 6 0 0 1 14
"Cluster-2887.0" 8 6 3 3 4 0 1 1 0 0 0 2 1 2 0 2 2
"Cluster-2491.1002" 18 19 9 5 4 2 82 2 6 1 1 0 21 0 0 12 12
"Cluster-2491.18712" 122 113 51 37 45 37 11 46 5 15 3 29 103 10 4 34 36
"Cluster-2491.6912" 185 161 155 68 64 44 51 207 65 36 71 133 158 121 50 381 190
"Cluster-2491.10166" 48 48 63 48 41 42 92 53 147 76 100 179 205 27 74 347 401
"Cluster-2855.0" 53 29 29 31 38 21 8 43 33 0 0 17 13 0 0 32 17
"Cluster-2491.20370" 74 74 58 18 27 18 4 26 12 3 17 13 27 8 8 25 19
"Cluster-2491.9973" 353 356 177 380 418 290 94 364 290 46 74 106 217 237 38 1039 668
"Cluster-2331.0" 26 37 15 27 12 16 9 60 2 3 6 7 15 12 4 20 27
"Cluster-4637.0" 43 42 36 4 3 7 0 2 1 6 12 1 6 2 2 3 7
"Cluster-2491.23577" 3137 3101 1477 259 263 160 1 1 0 141 34 8 5 0 39 4 2
"Cluster-2491.5344" 540 438 255 355 357 233 48 197 194 188 177 65 206 47 153 429 278
"Cluster-2491.10781" 154 130 83 60 101 50 70 182 187 72 84 57 67 126 94 552 192
"Cluster-2491.12718" 89 72 62 68 62 30 77 64 78 40 125 108 161 72 67 195 111
"Cluster-658.3" 761 764 517 6 4 3 7 71 2 86 116 210 407 3 70 12 189
"Cluster-2491.9726" 456 374 179 643 817 569 488 626 1364 502 414 451 585 486 486 3141 1501
"Cluster-2491.24521" 9 6 2 1 3 0 2 1 0 0 3 2 7 0 0 4 4
"Cluster-2491.18489" 8 8 6 0 0 0 3 1 3 0 4 7 18 4 0 15 5
"Cluster-2491.13502" 816 777 356 823 1093 740 541 1338 1405 724 826 765 971 950 848 4352 1815
"Cluster-2491.16673" 240 239 137 222 221 108 58 116 108 54 85 70 184 74 49 256 195
"Cluster-2491.21446" 43 45 28 37 36 28 22 20 22 56 78 115 112 10 30 47 52
"Cluster-1657.1" 7 9 2 5 11 11 0 6 1 0 0 1 4 2 0 7 9
"Cluster-2491.7058" 1045 1056 541 298 362 219 269 973 753 499 663 303 497 700 625 2508 779
"Cluster-2491.9450" 13 18 12 311 384 309 1545 1805 2646 961 984 637 1005 1081 1736 5207 3378
"Cluster-2491.14512" 175 129 85 128 149 106 44 97 87 65 67 76 137 36 51 257 164
"Cluster-2491.16727" 23 23 6 5 1 1 1 7 2 1 1 0 6 4 0 37 21
"Cluster-2491.4540" 834 783 483 251 335 217 73 196 209 173 166 220 311 114 141 655 506
"Cluster-2491.5139" 5704 4830 3463 2552 2759 1956 794 2073 2455 2494 2911 2319 3141 1446 2101 7782 2793
"Cluster-2491.18213" 1123 988 606 1234 1318 971 581 1672 1222 383 416 730 1194 1126 433 4414 2439
"Cluster-2491.12565" 149 195 58 189 218 119 87 118 142 208 322 299 282 112 141 234 204
"Cluster-2491.4627" 0 0 0 1 2 4 172 50 135 0 0 0 0 88 23 241 116
"Cluster-2491.17582" 71 37 22 41 70 38 13 23 26 56 81 111 110 26 42 86 61
"Cluster-2491.17489" 88 100 38 37 24 30 3 36 3 13 12 3 35 29 13 49 68
"Cluster-2491.3367" 0 0 0 1 6 7 7 31 3 1 0 6 8 35 0 60 39
"Cluster-2491.6761" 2692 2630 1515 2768 3088 2089 1224 1878 2839 1263 1830 1779 2308 1237 1498 5976 3302
"Cluster-5229.0" 14 10 4 4 5 2 4 5 11 9 19 7 10 3 4 20 34
"Cluster-2491.9119" 73 73 42 607 546 440 124 919 559 67 171 153 199 313 139 823 728
"Cluster-2491.20738" 15 14 4 5 2 1 1 3 0 2 0 0 4 1 0 6 8
"Cluster-2491.3214" 131 92 75 94 60 42 49 83 50 95 87 162 150 43 57 144 119
"Cluster-2491.5059" 236 182 91 112 172 105 46 97 64 81 140 185 275 46 38 301 207
"Cluster-764.4" 0 1 0 0 0 0 2 2 0 2 0 11 20 0 0 22 14
"Cluster-2491.11902" 24 12 13 1 3 2 371 270 461 27 49 144 91 246 141 935 357
"Cluster-2491.2021" 22 19 7 28 28 27 4 16 4 2 1 7 6 6 1 24 26
"Cluster-2491.16607" 326 323 218 97 114 67 45 185 156 64 75 32 71 89 79 250 134
"Cluster-2491.19143" 137 144 85 248 215 165 72 108 117 22 47 43 107 97 48 240 280
"Cluster-2491.15602" 41 47 29 13 14 10 27 51 32 11 27 18 33 15 19 228 67
"Cluster-2491.13135" 1256 1127 585 523 834 531 115 767 260 207 369 602 855 324 211 1519 850
"Cluster-2491.17518" 51 38 16 60 64 29 7 34 2 5 3 28 86 12 1 34 63
"Cluster-2491.815" 12 6 10 0 0 0 6 1 0 59 125 150 132 0 37 103 40
"Cluster-2491.7988" 410 398 151 259 338 225 117 179 240 157 188 175 301 143 127 611 360
"Cluster-2491.17545" 13 11 9 7 4 9 9 9 6 5 5 5 14 7 6 2 10
"Cluster-2491.19001" 0 0 0 0 2 3 193 79 82 0 0 0 0 95 69 208 154
"Cluster-2491.12915" 159 140 117 112 120 70 74 159 98 29 43 63 110 133 36 390 185
"Cluster-2491.18203" 561 480 225 292 332 232 81 216 129 157 217 651 703 89 145 912 591
"Cluster-2491.10071" 406 459 228 512 565 374 151 297 129 127 126 245 387 347 76 432 434
"Cluster-2491.677" 54 42 31 3 1 2 6 7 1 0 2 3 8 7 1 22 6
"Cluster-2491.10244" 304 299 185 126 168 109 92 262 273 141 189 106 173 171 191 699 248
"Cluster-2491.18637" 12 8 10 5 6 3 101 36 132 2 2 1 0 51 30 102 71
"Cluster-2491.15211" 894 678 488 349 481 284 256 588 653 380 517 458 548 345 436 1640 646
"Cluster-2491.21347" 18 85 40 89 352 732 2046 12429 47 11 208 160 1845 931 54 41 27
"Cluster-2491.5530" 1 0 6 17 18 13 551 1177 124 547 773 17 77 1265 796 793 99
"Cluster-2491.15700" 5 5 1 0 2 0 433 1984 6 8 47 26 222 233 8 3 2
"Cluster-2491.15963" 8 9 2 0 3 0 19 3 18 0 5 9 7 12 3 24 19
"Cluster-2491.13527" 27 39 10 29 19 33 9 24 12 8 6 12 37 19 3 41 47
"Cluster-2491.3383" 463 300 266 88 118 90 106 145 214 167 339 524 565 145 164 685 374
"Cluster-2491.7454" 311 315 131 315 414 299 100 327 152 107 111 220 265 262 68 447 445
"Cluster-2491.4005" 295 293 135 253 259 188 77 131 89 236 336 335 450 73 172 247 300
"Cluster-2491.12243" 39 68 29 13 1 40 10 4 20 121 21 7 7 38 72 23 49
"Cluster-2491.16271" 0 0 0 1 0 0 18 0 10 0 0 0 0 5 0 12 11
"Cluster-2491.16872" 77 71 60 19 18 20 30 23 5 39 16 47 75 10 15 84 54
"Cluster-2491.2991" 1 0 0 3 0 0 50 10 24 0 2 4 7 22 2 36 38
"Cluster-2491.17999" 64 116 52 48 36 35 19 10 11 5 16 45 76 12 10 57 53
"Cluster-2491.16237" 155 151 61 82 75 45 15 96 29 62 95 89 143 37 36 118 106
"Cluster-2491.18068" 396 274 144 77 82 64 12 25 28 68 45 3 10 8 20 39 27
"Cluster-2491.15962" 1 0 3 7 10 18 11 38 8 0 3 4 23 41 0 289 70
"Cluster-2491.5307" 7813 6874 3947 2956 2800 2045 777 3823 2153 1914 1809 1852 5091 1736 1441 5447 3588
"Cluster-2491.9236" 74 91 34 112 137 81 39 77 95 217 294 301 276 88 115 236 182
"Cluster-2491.19386" 3 5 2 7 5 5 15 13 12 7 10 3 15 8 0 34 24
"Cluster-1602.0" 13 16 18 14 19 11 1 11 5 6 11 3 8 4 7 13 17
"Cluster-2491.1606" 82 50 23 9 16 5 28 33 6 123 331 667 664 3 126 243 322
"Cluster-2491.20736" 108 67 17 36 51 37 15 36 12 15 6 23 37 24 7 27 80
"Cluster-2491.5555" 335 398 171 328 303 289 109 583 327 256 402 344 388 245 203 457 577
"Cluster-2491.3491" 1 8 3 214 119 89 58 183 75 18 45 70 100 93 24 95 119
"Cluster-2491.23562" 2 5 2 0 1 0 710 3537 5 2 50 36 346 368 10 2 2
"Cluster-2491.295" 15 12 7 0 0 1 0 3 2 2 5 22 40 2 5 17 15
"Cluster-2491.19782" 56 61 23 64 53 42 25 52 19 233 335 345 349 20 95 143 129
"Cluster-2491.17261" 233 210 81 83 102 100 42 58 35 12 10 57 122 27 12 245 189
"Cluster-3573.0" 62 59 33 12 12 17 1 10 6 23 28 23 42 4 12 21 8
"Cluster-2491.16722" 100 88 43 32 13 20 3 9 3 5 3 3 17 4 1 16 8
"Cluster-2491.16907" 312 251 174 276 299 211 100 436 394 180 245 143 216 257 258 715 348
"Cluster-2491.10459" 1363 1225 995 562 699 452 227 568 652 934 1173 1028 1582 308 590 1413 969
"Cluster-2491.19585" 527 522 208 259 197 168 50 156 84 32 40 27 85 88 33 148 118
"Cluster-2491.18116" 38 28 14 15 7 3 4 9 7 4 6 6 14 4 0 28 20
"Cluster-2491.7385" 605 548 294 402 512 341 55 183 247 190 210 142 250 92 176 698 371
"Cluster-2491.12302" 135 188 75 185 206 156 62 100 52 30 61 77 155 56 25 213 169
"Cluster-2491.9021" 645 643 372 368 463 310 301 702 665 720 806 428 562 534 709 1683 620
"Cluster-2491.16638" 120 93 68 55 42 41 48 27 22 113 162 246 264 15 58 184 108
"Cluster-2491.12636" 16 10 7 84 111 72 41 22 34 1 4 20 13 13 8 89 45
"Cluster-2491.1110" 118 128 75 58 86 54 9 9 7 5 15 5 2 2 2 19 7
"Cluster-2491.16008" 75 94 48 98 70 51 36 31 15 38 73 73 180 28 28 100 127
"Cluster-2491.9652" 341 261 136 207 259 161 55 125 90 38 79 144 213 113 55 443 258
"Cluster-2491.15361" 6 4 3 0 0 2 60 6 48 1 5 5 7 28 3 84 44
"Cluster-2491.11141" 112 79 47 2 6 2 70 11 29 0 1 0 6 15 2 134 67
"Cluster-2491.21883" 651 750 437 5 10 1 9 21 1 186 153 313 433 3 111 126 75
"Cluster-2491.4740" 1283 1062 707 1622 2181 1419 299 933 1041 734 1050 998 1547 360 580 1562 1747
"Cluster-2491.4083" 634 582 266 250 342 250 87 241 147 200 263 455 571 254 196 658 526
"Cluster-2491.12208" 230 158 81 165 183 131 118 297 242 191 249 289 359 180 136 324 349
"Cluster-2491.16795" 30 32 19 13 5 7 45 20 35 3 1 10 7 20 10 77 26
"Cluster-2491.4943" 251 293 181 178 252 178 118 542 372 328 423 205 262 210 388 906 362
"Cluster-2491.10906" 321 339 204 154 192 106 77 329 279 131 153 51 91 163 148 468 205
"Cluster-2491.10787" 28 32 26 11 13 12 295 390 126 0 3 0 5 271 20 1999 632
"Cluster-4753.0" 10 18 11 6 7 2 1 2 4 3 0 0 5 2 3 14 12
"Cluster-2491.2218" 17110 19359 10081 4112 3107 2502 36 20 24 298 193 18 14 20 131 58 38
"Cluster-2491.16908" 7 35 12 0 0 0 1109 6261 17 8 271 102 435 705 46 12 13
"Cluster-582.0" 42 17 18 0 0 1 0 2 0 22 22 93 179 0 13 6 19
"Cluster-2491.5414" 266 222 165 152 134 117 69 890 354 120 217 577 654 249 183 977 440
"Cluster-2491.23385" 5 1 13 3 6 2 2 4 0 6 6 25 18 1 7 14 11
"Cluster-2491.12085" 17 17 4 3 6 1 74 34 44 1 5 3 18 39 12 118 50
"Cluster-2491.7643" 265 243 147 567 529 457 428 1060 870 472 525 419 457 469 447 1632 1215
"Cluster-2491.21203" 41 39 16 22 26 29 5 9 2 29 48 69 90 13 21 28 33
"Cluster-2491.9909" 78 113 18 71 77 56 31 50 34 46 59 105 146 52 37 103 109
"Cluster-2491.13080" 87 134 69 256 310 226 85 231 166 140 226 221 267 139 103 373 374
"Cluster-2491.14786" 73 66 31 69 97 62 53 59 49 49 46 57 115 62 29 129 120
"Cluster-2491.20281" 357 341 200 5 7 6 0 3 3 13 15 10 36 3 5 4 8
"Cluster-2491.19350" 8 12 11 38 34 23 17 15 17 1 14 11 16 9 13 38 39
"Cluster-2491.10990" 810 726 359 401 498 344 73 417 163 61 82 189 346 185 51 860 632
"Cluster-2491.22953" 13 7 15 11 5 10 5 1 4 3 5 11 8 4 6 8 7
"Cluster-2491.10889" 70 62 76 96 144 85 31 79 91 154 217 170 127 41 109 498 245
"Cluster-2491.10836" 66 34 20 79 105 89 26 39 62 79 56 44 76 36 64 188 85
"Cluster-2491.7877" 1345 1179 733 574 510 385 136 296 198 823 1129 1592 1920 204 517 1306 817
"Cluster-2491.16854" 48 34 24 64 65 57 91 329 190 28 53 97 161 150 64 902 354
"Cluster-2491.9172" 184 150 124 121 140 85 67 128 152 151 189 273 282 68 127 477 253
"Cluster-2491.8373" 3 2 3 5 4 8 8456 21839 17139 4 0 1 4 17794 6052 43629 15154
"Cluster-2491.8396" 1486 1190 903 249 309 206 124 481 249 247 405 307 498 251 240 1278 533
"Cluster-2491.10514" 481 358 196 301 372 278 163 309 323 268 390 343 495 200 245 927 586
"Cluster-2491.2627" 152 134 105 78 83 72 13 28 17 25 53 159 225 9 39 324 118
"Cluster-2491.12485" 2673 2331 1570 1025 1228 880 281 1160 386 348 261 949 1524 720 311 2561 1725
"Cluster-2491.11647" 294 278 159 413 383 290 206 640 389 114 224 523 734 387 168 1032 728
"Cluster-3846.0" 47 25 32 0 0 0 0 1 0 14 6 12 16 1 1 3 0
"Cluster-2491.20670" 55 44 36 108 131 96 36 27 30 75 173 392 357 12 37 291 115
"Cluster-2491.15532" 104 71 50 21 13 15 10 12 2 7 10 36 39 7 4 85 35
"Cluster-2491.17504" 119 122 71 75 46 40 17 51 6 42 33 52 68 79 16 46 52
"Cluster-2491.2975" 99 154 124 176 154 100 63 69 97 117 93 47 51 66 166 276 154
"Cluster-2491.11456" 988 761 484 402 523 359 190 867 567 359 512 310 545 409 460 1844 937
"Cluster-2491.5490" 5820 5742 5102 13336 15858 10899 23664 74880 80328 21809 25986 15238 20353 39675 37190 145352 79859
"Cluster-2491.14365" 83 57 14 198 232 141 56 63 113 80 107 93 153 49 75 260 143
"Cluster-2491.8870" 253 187 71 160 184 113 44 307 153 82 88 105 149 211 61 306 236
"Cluster-2491.22913" 0 4 1 0 1 0 552 1280 13 5 49 53 424 124 14 2 2
"Cluster-2491.12254" 182 138 72 312 405 252 88 151 206 174 282 269 336 142 180 463 290
"Cluster-1546.0" 0 0 1 39 4 0 11 0 0 3 0 26 2 0 1 0 0
"Cluster-2491.14527" 35 45 20 197 279 155 39 28 65 87 122 207 223 40 71 189 120
"Cluster-2491.5543" 3403 2599 1958 1677 2274 1554 620 4749 3080 1238 1061 1864 2769 2281 1070 8127 5013
"Cluster-2491.13593" 942 711 438 752 975 647 119 292 324 461 659 691 815 186 369 1009 705
"Cluster-2491.9144" 80 34 23 55 80 68 21 61 21 7 9 15 41 37 6 121 87
"Cluster-2491.3296" 264 227 236 18 16 7 67 365 109 435 861 1758 1839 85 409 1461 644
"Cluster-2491.5113" 1163 1177 534 2122 2796 1645 574 1032 1382 1028 1412 1303 1720 722 1016 2999 1654
"Cluster-2491.12291" 40 37 24 154 175 120 108 284 194 243 441 244 283 291 277 937 249
"Cluster-2491.17294" 954 842 426 413 445 297 126 374 94 29 52 285 622 147 18 432 917
"Cluster-2491.7467" 332 610 200 109 130 108 76 214 207 122 176 123 137 149 117 312 296
"Cluster-2491.18461" 30 26 10 37 36 35 19 93 11 2 2 0 9 31 10 145 131
"Cluster-2491.435" 23 5 13 0 0 0 0 10 0 6 3 21 40 0 5 3 14
"Cluster-2491.20891" 12 30 8 5 10 15 5 7 3 2 1 8 12 3 0 6 10
"Cluster-2491.7299" 1609 1987 1030 1602 1889 1315 580 2348 1031 544 688 461 881 937 735 3890 1503
"Cluster-2491.24380" 570 425 220 5 3 3 4 95 0 24 16 83 223 0 14 14 107
"Cluster-2491.10496" 388 406 257 119 110 89 130 405 357 124 170 96 133 155 127 579 399
"Cluster-2491.14252" 190 171 109 136 97 89 27 117 27 33 52 112 157 46 33 113 110
"Cluster-2491.7523" 9 10 2 3 3 7 2067 2586 2842 7 8 42 18 2443 2036 7669 2414
"Cluster-2491.5605" 13 7 11 5 2 3 6 14 9 3 3 4 2 11 3 17 7
"Cluster-2491.19241" 150 125 81 170 175 116 20 41 26 26 35 126 159 36 21 132 147
"Cluster-2491.14785" 394 327 217 207 293 260 101 420 415 404 541 421 487 192 325 1094 559
"Cluster-2491.10621" 887 666 540 163 191 116 48 150 65 34 43 123 249 72 21 639 504
"Cluster-2491.25127" 62 67 50 4 0 1 0 0 0 15 7 4 4 4 1 6 6
"Cluster-2491.13488" 192 193 101 129 150 70 28 50 20 158 239 295 354 34 67 206 184
"Cluster-631.2" 157 229 227 1 0 0 1 0 0 3 5 4 0 0 1 0 1
"Cluster-2491.10594" 1 8 1 7 11 13 31 119 91 30 39 30 63 70 43 145 77
"Cluster-2491.7615" 62 57 25 109 165 122 80 58 136 145 182 215 208 98 95 312 163
"Cluster-2491.17326" 46 73 32 62 39 30 16 36 17 50 43 25 64 42 50 34 18
"Cluster-2491.10300" 144 101 97 132 177 121 40 204 196 120 125 131 222 86 117 497 199
"Cluster-2491.11125" 881 873 474 422 368 297 260 520 443 1643 2908 3605 3709 307 999 1815 1255
"Cluster-2491.10367" 123 80 59 13 14 18 108 107 158 43 58 39 85 124 73 565 187
"Cluster-2491.10604" 52 35 19 9 17 5 0 11 8 1 2 6 17 5 9 13 18
"Cluster-2491.8848" 314 264 159 385 439 293 112 361 276 207 267 374 524 207 167 626 468
"Cluster-5412.0" 8 13 5 13 10 9 2 18 2 1 0 2 5 2 0 11 25
"Cluster-4221.0" 38 25 18 11 3 3 2 2 3 1 0 0 3 1 0 2 2
"Cluster-2491.14157" 35 42 21 46 49 27 13 23 34 40 50 45 65 18 17 36 34
"Cluster-2491.9026" 1332 1167 710 1009 1345 934 665 2207 1863 1653 1726 513 690 1055 1738 6178 1626
"Cluster-2491.20038" 32 36 24 52 35 31 29 39 17 24 31 55 60 15 10 33 38
"Cluster-2491.11275" 0 0 0 0 1 0 30 6 0 0 59 19 0 202 9 0 0
"Cluster-2491.13526" 32 12 12 8 10 4 13 10 5 41 74 106 121 3 32 63 41
"Cluster-2491.7688" 3 3 1 1 1 2 456 237 387 0 2 1 3 297 55 989 377
"Cluster-2491.14746" 78 87 25 227 153 138 43 82 31 33 21 44 124 58 17 123 234
"Cluster-2491.12334" 38 14 12 138 163 110 37 169 93 32 58 119 141 84 52 520 317
"Cluster-2491.17513" 263 218 97 402 348 298 71 387 82 25 21 79 187 156 10 137 408
"Cluster-2491.8690" 77 74 27 45 43 52 13 66 18 13 13 55 72 41 18 79 58
"Cluster-2491.6568" 1837 1709 1121 635 496 357 201 785 196 96 135 623 905 384 56 671 800
"Cluster-2491.15236" 184 234 72 290 255 187 101 283 119 107 137 147 277 123 70 231 368
